X1,title post,body post,body comment
18,To give my dog the walks that he deserves,"I have recently stopped walking my dog around because of the stress I get from saying good morning to people. (I usually go at the ass crack of dawn because there's only 3 people I need to ""interact with"" rather than like 7 I guess)

My predicament:

I walk and then a stranger says good morning. Sometimes if I'm too scared, I'll just look down at the ground before they even come close to me to avoid talking.

Result: I feel horrible, they probably feel horrible 

 If I look up, and they try to make eye contact, I panic. They say the good 'ol ""morning!"". I don't respond because I'm busy panicking and I react too slow.

Result: I think that they hate me and I hate myself for it

I tried to make the first move a few times and I say good morning like a brave little girl. It fizzles out like a flat soda and I mumble. 

Result: I say ""gmurnen"" and only mosquitoes can actually hear me

Am I missing a clear compromise here or do I have to keep powering through staring at the ground or those stupid ""gmurnen""s?

&gt; I actually haven't been diagnosed officially, but I stress about these social interactions so much to the point where I just assume I have it.",hi william im so sorry you feel that wayi totally understand the feeling of other people always seeming to judge and make assumptions but it really happens way less than we think usually people are too focussed on themselves to judge others so much i cross the street to avoid people all the time because im awkward and definitely dont want to make anyone feel shady if i am feeling a little intimidated by someone i feel a lot better if i see them smile i know its tough but hang in there and remember people arent judging and criticizing you nearly as much as you think and if you do see someone and make eye contact just give them a smile maybe theyll smile back
21,How do I keep a conversation going with someone I don't know that well?,"I've been isolated for a while. I'm REALLY good at first impression conversation #1. But my social anxiety kicks in when attempting to build relationships. I start to second guess everything i do/say. And this anxiety becomes a feedback loop of worries, so I psych myself out and can't think of things to say, lose the ability to be casual and I believe (could just be in my head) my convo with others feels awkward and forced.

For example, I met a women. She's a best friend of my coworker. I been trying to text her and see what's up. But I suck sooo bad at conversing that I feel like the convo goes nowhere and very quickly it turns into small talk and dies out. Basically there's no progression, because I sick bad at ""spitting game” or whatever you want to call it. This is a man/women context, but same stuff happens with most of my relationships in life.

Any suggestions on how to figure this stuff out? Am I alone in this or do you all have the Same issues with socialization?",no youre not crazysometimes talking to someone you feel comfortable with makes things all the better looking forward into the future is scary and hard so take every day as it comes and as hard as it is be optimistic ill be around if you need to talkrant and as i said earlier the most important thing is for you to release your feelings you have bottled up insidei hope for you all the best
15,How do I stop crying every time I do something slightly wrong?,"I am soooo tired of this. 
Like as soon as I make a small mistake I just can't stop crying even though I know its okay. Like I don't feel sad but I still cry a lot and cannot stop it!
The crying just makes me more anxious D:
Today I made a small error at work, fixed quickly and nothing bad came out of it but still I cried so much!!
Like it's so ridiculous but I don't know how to stop it.

Any advice? :(",i do it too im its been a problem for a few years now it makes it hard to live my life when im constantly worried how fast life is going and my teen years are already ending and ill be and then more years im im honestly not sure how to stop this from happening just try to live in the moment i guess but its pretty hard to live in the moment when you are thinking about living in the moment if that makes any sense just know you arent alone im pretty sure its normal
72,Struggling with how to quit lip picking,"Hi everyone,

I am 28 and I have suffered from anxiety as long as I can remember. I have had a lot of nasty habits over the years but the hardest one for me to kick is my lip picking. I'm going to go into some detail here but if it's TLDR any advice you have would be great! Thanks in advance.

I have clear memories of being around 5 years old and picking the skin from my lips in the bathroom mirror until they bled, but I honestly can't remember why I was doing it besides
perhaps, curiosity? 

As an adult I now mostly pick them subconsciously, especially while reading or scrolling social media. Sometimes I feel like I do it on purpose to help me concentrate, or clear my head. There are times when I only realize I'm doing it once it starts to hurt or I'm bleeding. On occasion I will pick them pretty raw and they are sore for days.

 If my lip gets a crack in it, you can forget it. I have one I have been struggling to let heal for about a month now. I just can't stand the dry skin or the bumps the scabs cause and I pick them off so my lips are ""smooth"" again. Most of the time I layer on some medicated chapstick before I go to sleep and pray it's healed when I wake up. 

My husband tries to help stop me when he notices it's happening and makes me aware or holds my hand, but the urge comes back almost within the minute. Sometimes I purposefully wait until he has left the room to go to town and then I hate myself afterwards. 

Sometimes I feel like I enjoy the pain? Or just the satisfaction I get from it and the pain is just a bonus? In the moment it might be great but the following hours/days of healing suck. I hate this habit and I hate how it makes me feel.

Please help me quit. I've tried so many times.",this is super rude pls post this on glassdoor also i watch career tiktoks and self made millenial on youtube who has rly great content im apply for traineeships tho so interview process might be more chill good luck tho
50,Heartbeat,"If you have anxiety, you probably well aware how hard it is to stay concrete and act like a normal human being with your heart thumping twice as faster around people.

I however, dont have this problem with my friends. But more to my family, since they constantly judge me unexpectedly. And so, during this quarantine, im having a hardtime eating meals with them.

Because my heart beat way too fast, Im sweating (thankfully my face never sweat much, so theyre unaware, but I had to wear baggy clothes to hide my body), my face twitch occasionally because damn its hard not to bend over and breathe raggedly cuz I feel like im running marathon. My stomach is not helping either.

How do I control my heartbeat so it beat normally when Im nervous?",its really good that youre talking more with close friends as this can really help i do think you might want to talk to a professional as this stems from when you were younger of course you should only do this if youre comfortable with it just to note this im not a professional myself so i cant say anything for sure thats why it might be a good idea to talk to someone who is much strength to you
39,gag reflex anxiety symptoms,"Hi everyone, 

Last year and now (it stopped for about 6 months) I've experienced an intense gag reflex when I eat and just overall feeling gittery/ empty feeling because I hardly eat as much as before. I'm pretty sure it's linked to my anxiety but I'm wondering if anyone has a similar experience. Just wanna make sure I'm not dying lol. 

An example is I wake up and will throw up my breakfast if I eat it because my stomach is straight turning about whats coming that day. Or I puke before an exam and can't eat the day of.",hey i totally feel this i used to have the exact same problem for me it was every time i had work the next morning i would wake up in the middle of the night before it and throw up and be up for a couple hours ive always had some physical symptoms but nothing that severe sorry to tell you that the only thing that seemed to help after dozens of dr appointments was changing jobs easier said than done thats for sure are you in a stressful line of work
40,Unable to control my hands?,"So this happened to me a few hours ago and I don't really know what to think of it.

So, today I was stressed the entire day, but I was utilizing healthy coping mechanisms to keep my anxiety under control (mostly breathing exercises, grounding techniques and using fidgets when I was having problems focusing on work). 

I had everything under control until I went into my room after dinner. My right hand started to wave at my right side, almost like I was ruffling the hair of a small child. I couldn't understand why it was happening or control my hand, and then my left hand started waving. 

The waving got more violent. I wanted to stop so I managed to clench my fists together, but then it was like I was stuck. I clenched my fists together and my nails dug into the palms of my hands. I was stuck like this for maybe 45 seconds... then it just stopped. 

Afterwords I was completely discombobulated and exhausted. It was a terrifying experience that I've never been through before... has this happened to anyone else? Any insights or advice for situations like this would be extremely helpful. Thank you

More information: I have GAD and depression, and I am not currently taking medication.",i also wanted to add that the only thing that has helped me over the years with this is doing positive things for my health that make me feel awesome and make me think wow if im eating all organic and running there is no way i have cancer like yoga badass nutrition walking moving running
16,"If someone doesn't reciprocate convo often enough, do they not wanna be friends?","Trying to figure out if people wanna be friends (or more with women). I don't if there are any rules, or at what point I should take people's actions meaning they're not interested.

I'm wondering: if it feels like I initiate the text convos more often, does it mean they're not interested?",well first of all its not silly you cant judge anyone for something like that its a fear and its valid being open and honest about how you feel with your family members is key honest communication is a life saver if they love you they will try to understand thats if you communicate assertively assertively communication means a person stands up for their own wants and needs while also taking into consideration the needs and wants of others without behaving passively or aggressively assertive communication is helping me tremendously with finding out what my wants and needs are
56,Having chest pains and am EXTREMELY worried.,"So I'm having some chest pains, and admittedly have been very anxious and my small dosage of Xanax has been out the last few days and I'm (still) waiting for my pharmacy. 

I worry about everything now especially because of Covid. Anytbing I touch, any cough I have, I live with my parents, I am FUCKING STRESSED. I haven't slept much these last 2 days as well because my mind will not shut off. 

Add in, I'm a very heavy, if not extreme, weed smoker. I know smoking causes heart problems, and I've lost lots of weight in the last 6-8 months from not eating a crazy amount and I do not exercise. 

I'm really anxious because I'm worried a heart attack is inevitable, but I also know anxiety can naturally cause chest pains. If I take a deep breathe in now, I don't feel anytbing in my chest. Every once in awhile though, towards the middle/top of my chest, I feel a bit of a pain or like something feels stuck or tensioned. It's not a 24/7 bothersome physically, but mentally it's freaking me out. I'm also worried it's the star of a viral infection, which of course could mean Covid. 

So, I'm not sure what to do. If anyone could please please please help or give me some guidance and comfort, I need it. I'm not sure what to think any more in all honesty, so that adds to my level of paranoia.",yep i get those all the time i go to the er they do an ekg and all the other heart tests and it always comes back as chest wall pain which is caused by anxiety ive seriously been to the er times in months from that
19,Fake friends????,"Do you think you're re always the one putting in efforts, always the one being walked over and pushed around and no one really cares about what you want/think/feel but they do something slightly nice for you once in a while and you think you OWE your friendship to them? 
And they just keep using you, manipulating you! And in the end I keep feeling bad because I wish I was more important or even a little important in someone's life. 
It's so frustrating to see how people hung out with you because their other friends weren't around or you were the only last option left. 
It's really bothering me can someone tell me what I should do. This feeling is so hurtful and it just comes randomly and I just don't want to feel like trash all the time.",ive always struggled with understanding how my friends see me i think another kicker for me was that a lot of life is wanting to feel understood and accepted but with social anxiety especially when youre trying your best to hide symptoms of it can go under our loved ones radars leaving us feeling like impostors i have a hard time with believing people get what i feel even when i tell them about it and ive kinda realized because i have friends who have their own disorders that they deal with everyday that its ok for me to struggle and have off days and interactions with them because they have flaws too we all deserve the space we occupy and you deserve to have social engagement just like everyone else your friends wouldnt take the time to meet up with you if they didnt think you where worth it and anyone who wouldnt want to spend time just because you have social anxiety would be a shitty friend
